Date,number,day,visitors,vleague,visgame,home,hleague,homegame,visscore,homescore,lengthouts,nightday,latercomp,forfeit,protest,park,attendance,timemin,visline,homeline,visab,vish,visdoub,vistrip,vishr,visrbi,vissh,vissf,vishbp,visbb,visibb,visk,vissb,viscs,visgdb,visci,vislob,vispitchused,visier,vister,viswp,visbalks,visputout,visassist,viserror,vispb,visdp,vistp,homeab,homeh,homedoub,hometrip,homehr,homerbi,homesh,homesf,homehbp,homebb,homeibb,homek,homesb,homecs,homegdb,homeci,homelob,homepitchused,homeier,hometer,homewp,homebalks,homeputout,homeassist,homeerror,homepb,homedp,hometp
20030401,0,Tue,LAN,NL,2,ARI,NL,2,4,5,58,N,,,,PHO01,35979,171,400,1210000001,36,8,2,1,1,4,1,0,0,3,0,8,0,0,0,0,6,4,5,5,1,0,28,18,2,1,0,0,36,9,4,0,0,5,0,0,0,3,0,9,1,1,0,0,6,4,4,4,0,0,30,15,0,0,0,0
20030401,0,Tue,SFN,NL,2,SDN,NL,2,8,1,54,N,,,,SAN01,50605,149,10300031,10,36,10,2,0,4,8,0,0,0,3,0,5,0,1,0,0,4,2,1,1,0,0,27,13,0,0,0,0,31,4,1,0,0,1,0,0,0,1,0,7,0,0,0,0,4,4,8,8,0,0,27,15,0,0,0,0
20030401,0,Tue,COL,NL,1,HOU,NL,1,4,10,51,N,,,,HOU03,43241,158,11000020,01611100x,35,8,2,1,0,3,1,0,0,3,0,2,1,1,1,0,8,4,10,10,1,0,24,9,0,0,0,0,36,14,2,0,4,10,1,1,0,3,0,6,0,0,0,0,7,4,3,3,0,0,27,13,3,0,2,0
20030402,0,Wed,SEA,AL,2,OAK,AL,2,3,8,51,N,,,,OAK01,17033,178,100000002,00422000x,33,6,0,0,0,3,0,0,0,3,0,5,0,0,0,0,6,4,6,6,0,0,24,7,1,0,0,0,34,9,2,0,2,8,0,0,0,7,0,6,0,0,0,0,9,3,3,3,0,0,27,7,0,1,0,0
20030402,0,Wed,BOS,AL,3,TBA,AL,3,7,5,54,N,,,,STP01,10058,147,13030000,300020000,35,8,3,0,1,7,0,0,0,5,0,7,0,1,1,0,6,3,5,5,1,0,27,13,1,0,0,0,35,7,0,0,1,4,0,0,0,2,0,4,3,0,0,0,5,2,7,7,0,0,27,10,2,0,1,0
20030402,0,Wed,TEX,AL,3,ANA,AL,3,5,11,51,D,,,,ANA01,25821,178,1030010,01043120x,38,10,1,0,3,5,0,0,0,3,0,9,0,0,1,0,9,5,10,10,0,0,24,9,1,0,1,0,35,14,3,0,3,10,0,1,1,3,0,6,2,0,1,0,5,4,5,5,1,0,27,8,2,0,1,0
20030402,0,Wed,NYA,AL,3,TOR,AL,3,9,7,54,N,,,,TOR02,16222,194,162000000,10210300,45,17,8,0,2,9,0,0,1,5,2,6,2,0,0,0,15,4,7,7,1,0,27,9,0,0,1,0,36,11,6,0,1,7,0,1,0,0,0,12,0,1,0,0,3,7,8,8,1,0,27,9,1,0,0,0
20030402,0,Wed,MIN,AL,2,DET,AL,2,8,1,54,N,,,,DET05,21123,160,120300011,1000000,39,13,4,1,1,8,0,1,0,3,0,8,0,0,0,0,8,4,1,1,0,0,27,6,0,0,0,0,30,3,0,0,1,1,0,0,0,1,0,6,0,0,0,0,3,5,8,8,1,1,27,9,0,0,0,0
20030402,0,Wed,CHA,AL,2,KCA,AL,2,4,5,51,D,,,,KAN06,10429,173,2000110,00201020x,35,10,3,0,0,3,0,1,0,3,0,8,0,0,1,0,8,4,4,4,0,0,24,5,1,0,0,0,30,6,2,0,1,5,0,1,1,3,0,4,1,0,0,0,6,5,4,4,1,0,27,10,1,0,1,0
20030402,0,Wed,CLE,AL,2,BAL,AL,2,4,2,54,N,,,,BAL12,27658,143,11000200,10000010,36,9,2,0,0,3,0,0,0,2,0,8,0,0,0,0,7,4,2,2,0,0,27,15,0,0,0,0,32,5,1,0,2,2,0,0,0,1,0,5,0,0,0,0,4,4,4,4,0,0,27,11,1,0,0,0
